iter	RMSE
0	14.19040688
1	13.25521535
2	12.42798617
3	11.66092231
4	10.93708235
5	10.4478962
6	9.932859882
7	9.433045723
8	8.989111806
9	8.571919787
10	8.193969414
11	7.875357415
12	7.621467166
13	7.349958539
14	7.112567193
15	6.936507252
16	6.768766074
17	6.609512618
18	6.452582924
19	6.297763804
20	6.187572254
21	6.087359376
22	5.980598442
23	5.907712498
24	5.82495524
25	5.768516721
26	5.691982013
27	5.640163544
28	5.590975908
29	5.538675807
30	5.492392308
31	5.443499725
32	5.408157024
33	5.38211179
34	5.345402395
35	5.315472881
36	5.291016026
37	5.266656131
38	5.239657103
39	5.215269188
40	5.20056772
41	5.187006812
42	5.169329603
43	5.162025827
44	5.142067912
45	5.125679132
46	5.107901598
47	5.09391264
48	5.086763706
49	5.071526913
50	5.054234271
51	5.042217768
52	5.034143695
53	5.02469974
54	5.010271734
55	4.996119883
56	4.977474709
57	4.963030534
58	4.954922621
59	4.953062677
60	4.946733468
61	4.935888015
62	4.926642237
63	4.916493617
64	4.909746923
65	4.900791826
66	4.887347588
67	4.877100856
68	4.860869657
69	4.847078473
70	4.837115957
71	4.825525709
72	4.812042552
73	4.797703094
74	4.791081169
75	4.776713222
76	4.769912784
77	4.759935486
78	4.746882149
79	4.731808134
80	4.725453075
81	4.714478835
82	4.70042217
83	4.685341705
84	4.680584034
85	4.67793455
86	4.673477531
87	4.655697341
88	4.649273693
89	4.647103784
90	4.632666015
91	4.625741575
92	4.618880027
93	4.61827264
94	4.612006605
95	4.597676509
96	4.594050137
97	4.587719759
98	4.58086315
99	4.572771499
