iter	Passed	Remaining
0	1	103
1	1	95
2	2	89
3	3	86
4	4	83
5	5	81
6	6	79
7	6	78
8	7	76
9	9	85
10	10	86
11	11	85
12	12	83
13	13	81
14	14	79
15	14	78
16	15	77
17	16	75
18	17	74
19	18	72
20	19	71
21	19	70
22	20	69
23	21	68
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	26	59
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	35	51
41	36	51
42	37	50
43	38	48
44	39	47
45	40	47
46	40	46
47	41	45
48	42	43
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	49	38
56	50	37
57	51	37
58	51	36
59	52	34
60	53	33
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	57	28
67	59	27
68	59	26
69	60	26
70	63	25
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	87	1
98	90	0
99	91	0
